dt_bf16,dt_f16,dt_f32,dt_f64,vram,m,n,k,tile_m,tile_n,tile_k
0,1,0,0,7.5700,12.731743,6.807355,11.140830,6.686501,4.459432,8.487840
0,1,0,0,7.5700,12.731743,6.807355,11.140830,11.728771,3.321928,8.262095
0,0,0,1,4.4600,10.225207,9.879583,10.577429,6.686501,4.459432,8.487840
0,0,0,1,4.4600,10.225207,9.879583,10.577429,8.942515,1.000000,10.096715
1,0,0,0,4.0600,8.503826,10.661778,11.517669,8.503826,1.000000,11.517669
1,0,0,0,4.0600,8.503826,10.661778,11.517669,8.159871,2.584963,9.509775
1,0,0,0,4.2200,11.321364,11.371232,7.988685,9.773139,3.321928,3.584963
1,0,0,0,4.2200,11.321364,11.371232,7.988685,9.821774,3.807355,6.087463
1,0,0,0,7.8700,7.257388,10.227616,13.196756,7.257388,1.000000,12.000000
1,0,0,0,7.8700,7.257388,10.227616,13.196756,6.392317,1.000000,11.970106
0,0,0,1,3.8000,12.705200,9.434628,8.543032,9.415742,4.000000,8.214319
0,0,0,1,3.8000,12.705200,9.434628,8.543032,10.927037,4.169925,8.405141
0,1,0,0,0.1200,10.976564,10.594325,8.118941,8.174926,5.000000,6.044394
0,1,0,0,0.1200,10.976564,10.594325,8.118941,6.375039,4.169925,7.900867
0,1,0,0,7.4100,8.375039,11.221587,11.086136,8.375039,4.807355,7.643856
0,1,0,0,7.4100,8.375039,11.221587,11.086136,5.584963,1.000000,10.482808
0,0,1,0,0.1400,7.707359,9.885696,9.663558,7.707359,5.087463,7.894818
0,0,1,0,0.1400,7.707359,9.885696,9.663558,4.584963,4.169925,8.071462
0,0,0,1,0.3400,9.743151,10.295769,10.644758,9.743151,3.807355,9.144658
0,0,0,1,0.3400,9.743151,10.295769,10.644758,9.250298,2.000000,9.949827
1,0,0,0,0.5000,10.508785,9.743151,10.431498,8.791163,3.584963,8.693487
1,0,0,0,0.5000,10.508785,9.743151,10.431498,10.440869,2.584963,10.295769
1,0,0,0,7.1000,9.022368,10.987264,10.673309,9.022368,1.000000,10.673309
1,0,0,0,7.1000,9.022368,10.987264,10.673309,7.994353,1.000000,10.015415
1,0,0,0,3.2900,11.321364,10.919608,8.438792,8.909893,3.321928,5.426265
1,0,0,0,3.2900,11.321364,10.919608,8.438792,9.700440,7.658211,4.523562
0,0,1,0,2.7500,10.815383,10.601771,9.266787,7.787903,6.247928,5.857981
0,0,1,0,2.7500,10.815383,10.601771,9.266787,9.960002,3.807355,9.063395
0,1,0,0,8.1700,8.930737,11.168672,10.583083,8.930737,5.169925,7.787903
0,1,0,0,8.1700,8.930737,11.168672,10.583083,8.511753,2.000000,10.499846
0,1,0,0,2.0800,9.843921,10.525521,10.314017,8.266787,5.169925,7.546894
0,1,0,0,2.0800,9.843921,10.525521,10.314017,9.385862,2.584963,10.098032
0,1,0,0,4.5300,8.927778,11.401413,10.353147,8.927778,4.169925,8.686501
0,1,0,0,4.5300,8.927778,11.401413,10.353147,8.550747,1.000000,8.447083
0,0,1,0,0.2100,9.552669,8.005625,5.700440,5.285402,10.475733,2.000000
0,0,1,0,0.2100,9.552669,8.005625,5.700440,5.700440,6.169925,3.000000
0,1,0,0,4.0500,9.226412,10.589651,10.866506,8.675957,4.906891,7.442943
0,1,0,0,4.0500,9.226412,10.589651,10.866506,8.951285,1.000000,10.457381
0,0,1,0,7.7500,9.691744,11.036860,7.851749,8.675957,4.906891,7.442943
0,0,1,0,7.7500,9.691744,11.036860,7.851749,8.707359,3.584963,6.965784
0,1,0,0,2.9100,9.681238,8.971544,9.927778,6.247928,5.906891,7.066089
0,1,0,0,2.9100,9.681238,8.971544,9.927778,9.457381,5.906891,6.894818
0,0,1,0,3.5800,10.369597,7.562242,10.643856,10.233620,5.857981,7.108524
0,0,1,0,3.5800,10.369597,7.562242,10.643856,8.774787,1.000000,10.049849
1,0,0,0,0.0600,8.870365,7.894818,9.985842,8.870365,1.000000,9.985842
1,0,0,0,0.0600,8.870365,7.894818,9.985842,8.714246,6.554589,5.930737
0,1,0,0,5.9300,10.475733,8.495855,9.605480,6.686501,6.044394,6.930737
0,1,0,0,5.9300,10.475733,8.495855,9.605480,10.246741,3.807355,9.189825
1,0,0,0,0.9300,9.705632,8.988685,9.882643,9.705632,2.000000,9.882643
1,0,0,0,0.9300,9.705632,8.988685,9.882643,7.238405,1.000000,8.845490
0,0,1,0,2.6500,8.707359,11.197831,8.672425,8.707359,5.459432,7.515700
0,0,1,0,2.6500,8.707359,11.197831,8.672425,6.357552,6.554589,5.554589
0,0,1,0,6.4100,9.677720,10.266787,8.636625,8.618386,5.523562,7.159871
0,0,1,0,6.4100,9.677720,10.266787,8.636625,8.049849,3.807355,7.629357
0,0,0,1,7.9600,9.629357,10.918863,8.033423,9.629357,5.000000,7.900867
0,0,0,1,7.9600,9.629357,10.918863,8.033423,9.149747,9.839204,2.321928
1,0,0,0,1.3300,9.066089,11.492855,8.022368,8.442943,8.011227,4.643856
1,0,0,0,1.3300,9.066089,11.492855,8.022368,9.019591,4.321928,7.592457
0,1,0,0,3.3600,10.769011,8.194757,9.614710,6.672425,5.000000,7.965784
0,1,0,0,3.3600,10.769011,8.194757,9.614710,9.698705,1.000000,9.546894
0,0,0,1,4.3900,10.083479,8.082149,10.411511,7.781360,4.906891,8.066089
0,0,0,1,4.3900,10.083479,8.082149,10.411511,8.375039,4.584963,7.339850
0,0,0,1,7.2200,11.391781,11.283667,5.906891,11.391781,3.321928,4.754888
0,0,0,1,7.2200,11.391781,11.283667,5.906891,8.134426,3.321928,5.807355
0,1,0,0,5.6700,10.066089,8.326429,10.184875,6.375039,5.857981,7.098032
0,1,0,0,5.6700,10.066089,8.326429,10.184875,6.988685,2.000000,10.080818
0,1,0,0,6.9600,10.086136,9.756556,8.738092,7.108524,5.523562,7.451211
0,1,0,0,6.9600,10.086136,9.756556,8.738092,8.974415,6.523562,6.426265
0,0,0,1,8.6600,10.346514,10.385862,7.845490,9.449149,4.700440,7.845490
0,0,0,1,8.6600,10.346514,10.385862,7.845490,9.964341,4.321928,7.679480
1,0,0,0,1.2900,8.829723,9.679480,10.072803,8.829723,1.000000,10.072803
1,0,0,0,1.2900,8.829723,9.679480,10.072803,8.596190,2.584963,8.658211
0,1,0,0,5.4300,9.063395,9.964341,9.552669,7.700440,5.643856,7.321928
0,1,0,0,5.4300,9.063395,9.964341,9.552669,8.266787,3.000000,8.483816
0,0,0,1,7.2200,9.918863,7.982994,10.676839,8.603626,3.000000,9.823367
0,0,0,1,7.2200,9.918863,7.982994,10.676839,7.672425,4.584963,6.247928
0,1,0,0,3.3800,8.134426,10.224002,10.221587,8.134426,4.169925,7.900867
0,1,0,0,3.3800,8.134426,10.224002,10.221587,5.129283,1.000000,10.148477
0,0,1,0,0.5600,10.606405,10.002815,7.971544,6.794416,6.491853,4.754888
0,0,1,0,0.5600,10.606405,10.002815,7.971544,10.203348,3.000000,7.442943
1,0,0,0,3.2300,9.974415,9.746514,8.861087,9.974415,1.000000,8.861087
1,0,0,0,3.2300,9.974415,9.746514,8.861087,8.693487,2.000000,8.361944
0,0,0,1,7.1000,8.592457,9.396605,10.588715,8.592457,2.000000,10.588715
0,0,0,1,7.1000,8.592457,9.396605,10.588715,6.965784,3.321928,9.262095
1,0,0,0,3.7300,10.568906,9.631177,8.379378,10.130571,1.000000,8.379378
1,0,0,0,3.7300,10.568906,9.631177,8.379378,9.396605,8.700440,3.169925
0,1,0,0,3.2800,10.209453,8.903882,9.465566,5.807355,5.584963,7.366322
0,1,0,0,3.2800,10.209453,8.903882,9.465566,2.807355,6.087463,6.794416
0,1,0,0,7.4500,10.498849,8.321928,9.758223,6.741467,5.807355,7.179909
0,1,0,0,7.4500,10.498849,8.321928,9.758223,9.686501,6.672425,2.584963
1,0,0,0,3.7200,10.472691,9.571753,8.535275,10.285402,1.000000,8.535275
1,0,0,0,3.7200,10.472691,9.571753,8.535275,7.820179,4.807355,7.294621
1,0,0,0,6.7900,9.479780,9.136991,9.962896,9.479780,1.000000,9.962896
1,0,0,0,6.7900,9.479780,9.136991,9.962896,7.971544,2.584963,9.583083
0,0,1,0,6.6200,10.139551,9.461479,8.977280,8.891784,5.000000,7.467606
0,0,1,0,6.6200,10.139551,9.461479,8.977280,5.832890,2.584963,8.164907
0,0,1,0,2.4000,7.636625,10.792790,10.144658,7.636625,4.000000,8.971544
0,0,1,0,2.4000,7.636625,10.792790,10.144658,4.000000,2.584963,9.226412
1,0,0,0,7.2200,11.908393,6.066089,10.587778,11.908393,1.000000,10.587778
1,0,0,0,7.2200,11.908393,6.066089,10.587778,9.335390,1.000000,10.532356
1,0,0,0,0.1600,9.733015,8.832890,10.012625,9.392317,2.000000,9.505812
1,0,0,0,0.1600,9.733015,8.832890,10.012625,7.988685,4.000000,6.714246
0,0,0,1,7.2600,10.016808,10.104599,8.459432,8.751544,4.459432,8.459432
0,0,0,1,7.2600,10.016808,10.104599,8.459432,8.960002,4.906891,5.954196
0,0,1,0,3.3500,12.561765,6.700440,9.308339,8.511753,5.087463,6.375039
0,0,1,0,3.3500,12.561765,6.700440,9.308339,10.923327,5.700440,6.087463
0,0,1,0,2.4700,11.157978,7.918863,9.499846,9.152285,6.000000,6.965784
0,0,1,0,2.4700,11.157978,7.918863,9.499846,10.288866,2.584963,9.342075
0,0,1,0,5.1700,10.447083,10.023754,8.108524,8.651052,4.584963,7.375039
0,0,1,0,5.1700,10.447083,10.023754,8.108524,8.400879,4.321928,7.894818
0,1,0,0,6.8500,9.209453,8.413628,10.955650,6.507795,5.523562,7.434628
0,1,0,0,6.8500,9.209453,8.413628,10.955650,8.554589,2.000000,10.724514
0,0,0,1,6.0200,9.627534,10.388017,8.562242,9.370687,4.321928,8.562242
0,0,0,1,6.0200,9.627534,10.388017,8.562242,6.169925,7.584963,4.700440
0,1,0,0,1.5800,8.864186,9.715962,10.000000,8.826548,3.807355,8.405141
0,1,0,0,1.5800,8.864186,9.715962,10.000000,7.700440,2.000000,9.491853
0,1,0,0,3.9000,8.392317,10.566054,9.622052,8.392317,4.000000,8.848623
0,1,0,0,3.9000,8.392317,10.566054,9.622052,8.049849,3.321928,9.346514
0,0,0,1,0.4200,10.104599,7.754888,10.718533,10.104599,3.000000,9.751544
0,0,0,1,0.4200,10.104599,7.754888,10.718533,9.729621,2.000000,8.308339
0,1,0,0,1.6300,7.098032,11.540612,9.936638,7.098032,2.000000,9.936638
0,1,0,0,1.6300,7.098032,11.540612,9.936638,5.727920,2.000000,8.826548
0,0,0,1,2.6200,8.426265,9.924813,10.227616,8.426265,2.584963,10.221587
0,0,0,1,2.6200,8.426265,9.924813,10.227616,7.679480,2.584963,9.259743
0,1,0,0,4.5400,7.312883,10.576484,10.689998,7.312883,3.321928,8.271463
0,1,0,0,4.5400,7.312883,10.576484,10.689998,5.392317,3.000000,8.807355
0,0,0,1,6.8700,8.903882,10.534303,9.142107,8.903882,3.807355,9.142107
0,0,0,1,6.8700,8.903882,10.534303,9.142107,7.108524,7.266787,5.209453
0,1,0,0,6.2600,10.280771,10.727070,7.569856,8.957102,5.643856,6.781360
0,1,0,0,6.2600,10.280771,10.727070,7.569856,6.507795,6.247928,6.727920
0,0,1,0,3.9400,9.930737,9.958553,8.689998,8.965784,5.087463,7.451211
0,0,1,0,3.9400,9.930737,9.958553,8.689998,9.167418,5.000000,7.607330
0,1,0,0,2.0900,9.686501,9.573647,9.319672,7.066089,5.000000,7.888743
0,1,0,0,2.0900,9.686501,9.573647,9.319672,2.000000,3.807355,7.714246
0,0,1,0,3.2100,7.199672,10.612868,10.763212,7.199672,3.584963,9.280771
0,0,1,0,3.2100,7.199672,10.612868,10.763212,5.700440,2.584963,9.970106
0,0,1,0,1.8000,9.409391,9.184875,9.984418,9.409391,4.906891,8.022368
0,0,1,0,1.8000,9.409391,9.184875,9.984418,9.052568,3.000000,9.746514
0,0,1,0,5.8400,9.405141,9.361944,9.813781,9.405141,4.000000,8.294621
0,0,1,0,5.8400,9.405141,9.361944,9.813781,7.098032,2.000000,9.741467
0,0,0,1,1.6600,5.807355,11.595724,11.159241,5.807355,3.000000,9.854868
0,0,0,1,1.6600,5.807355,11.595724,11.159241,5.727920,2.000000,10.901621
0,0,1,0,6.0700,10.178665,9.103288,9.299208,8.951285,4.584963,7.845490
0,0,1,0,6.0700,10.178665,9.103288,9.299208,9.923327,6.129283,6.149747
1,0,0,0,5.6600,9.226412,9.636625,9.717676,9.226412,1.000000,9.717676
1,0,0,0,5.6600,9.226412,9.636625,9.717676,7.826548,3.321928,8.396605
0,0,0,1,1.7300,9.546894,9.971544,9.063395,9.546894,3.807355,9.011227
0,0,0,1,1.7300,9.546894,9.971544,9.063395,8.531381,2.584963,8.139551
0,1,0,0,2.2700,11.812177,8.622052,8.139551,9.603626,3.321928,8.139551
0,1,0,0,2.2700,11.812177,8.622052,8.139551,11.202736,4.700440,7.339850
0,1,0,0,2.8600,10.381543,9.714246,8.483816,7.238405,5.087463,7.629357
0,1,0,0,2.8600,10.381543,9.714246,8.483816,8.957102,2.000000,7.942515
1,0,0,0,2.9600,9.727920,9.509775,9.342075,9.727920,1.000000,9.342075
1,0,0,0,2.9600,9.727920,9.509775,9.342075,8.353147,3.000000,9.287712
0,0,1,0,7.1700,8.741467,9.891784,9.946906,8.741467,2.584963,8.810572
0,0,1,0,7.1700,8.741467,9.891784,9.946906,7.011227,5.169925,5.209453
0,0,0,1,8.6800,9.751544,9.294621,9.531381,8.596190,3.321928,9.531381
0,0,0,1,8.6800,9.751544,9.294621,9.531381,8.055282,3.000000,9.306062
0,1,0,0,1.1400,11.103288,10.945444,6.523562,11.103288,4.321928,5.672425
0,1,0,0,1.1400,11.103288,10.945444,6.523562,11.071462,7.209453,5.754888
0,0,1,0,6.7700,8.339850,10.537218,9.700440,8.339850,2.584963,9.257388
0,0,1,0,6.7700,8.339850,10.537218,9.700440,7.781360,5.087463,7.033423
0,1,0,0,4.1500,9.756556,10.062046,8.761551,6.988685,5.247928,7.700440
0,1,0,0,4.1500,9.756556,10.062046,8.761551,8.022368,1.000000,7.994353
0,0,0,1,0.2300,9.312883,7.693487,10.600842,9.312883,2.584963,10.029287
0,0,0,1,0.2300,9.312883,7.693487,10.600842,9.129283,3.000000,9.932215
0,0,0,1,0.1700,9.328675,10.087463,9.164907,9.328675,3.584963,8.867279
0,0,0,1,0.1700,9.328675,10.087463,9.164907,8.991522,4.000000,8.744834
1,0,0,0,0.7500,9.169925,9.537218,9.871905,9.164907,1.000000,9.871905
1,0,0,0,0.7500,9.169925,9.537218,9.871905,8.771489,2.000000,9.231221
0,0,1,0,3.4400,10.734710,7.348728,10.495855,10.032046,4.807355,8.189825
0,0,1,0,3.4400,10.734710,7.348728,10.495855,10.041659,3.807355,7.948367
1,0,0,0,4.7700,9.878051,9.255029,9.445015,9.878051,1.000000,9.445015
1,0,0,0,4.7700,9.878051,9.255029,9.445015,9.748193,3.321928,8.618386
1,0,0,0,4.5800,8.842350,9.233620,10.504819,8.842350,1.000000,10.504819
1,0,0,0,4.5800,8.842350,9.233620,10.504819,6.807355,3.000000,9.668885
1,0,0,0,8.1500,10.985842,8.098032,9.491853,10.985842,1.000000,9.491853
1,0,0,0,8.1500,10.985842,8.098032,9.491853,10.890264,4.807355,5.754888
0,0,0,1,5.8000,9.970106,8.550747,10.056638,8.584963,3.321928,9.548822
0,0,0,1,5.8000,9.970106,8.550747,10.056638,8.511753,1.000000,9.824959
0,1,0,0,6.5800,10.001408,8.317413,10.259743,6.523562,5.392317,7.546894
0,1,0,0,6.5800,10.001408,8.317413,10.259743,9.136991,3.000000,8.854868
0,0,1,0,5.7700,10.830515,8.738092,9.008429,8.379378,4.321928,7.442943
0,0,1,0,5.7700,10.830515,8.738092,9.008429,10.711667,5.523562,6.459432
0,0,1,0,0.6500,9.840778,8.748193,9.990104,9.840778,5.087463,7.839204
0,0,1,0,0.6500,9.840778,8.748193,9.990104,9.623881,3.584963,8.603626
0,0,1,0,5.9000,10.263269,10.346514,7.971544,8.573647,3.584963,7.714246
0,0,1,0,5.9000,10.263269,10.346514,7.971544,9.741467,3.000000,7.839204
0,1,0,0,0.9600,9.370687,8.876517,10.333155,8.082149,4.169925,8.129283
0,1,0,0,0.9600,9.370687,8.876517,10.333155,9.147205,2.584963,8.625709
0,0,0,1,1.8500,10.238405,8.353147,9.988685,9.812177,3.321928,9.663558
0,0,0,1,1.8500,10.238405,8.353147,9.988685,6.189825,4.000000,7.965784
0,0,0,1,1.7700,8.308339,9.733015,10.535275,8.308339,2.584963,10.353147
0,0,0,1,1.7700,8.308339,9.733015,10.535275,7.491853,2.000000,9.741467
0,0,1,0,7.8000,9.717676,8.900867,9.961450,9.717676,2.584963,8.857981
0,0,1,0,7.8000,9.717676,8.900867,9.961450,9.541097,1.000000,9.529431
1,0,0,0,4.0700,10.005625,9.375039,9.197217,10.005625,1.000000,9.197217
1,0,0,0,4.0700,10.005625,9.375039,9.197217,9.882643,6.643856,6.044394
0,1,0,0,0.4400,9.449149,8.348728,10.780540,8.531381,3.807355,8.592457
0,1,0,0,0.4400,9.449149,8.348728,10.780540,8.294621,1.000000,10.304922
0,0,0,1,5.8000,8.915879,9.997179,9.667112,8.658211,3.321928,9.667112
0,0,0,1,5.8000,8.915879,9.997179,9.667112,6.906891,2.000000,8.271463
1,0,0,0,5.9000,9.668885,9.002815,9.906891,9.668885,1.000000,9.906891
1,0,0,0,5.9000,9.668885,9.002815,9.906891,9.159871,5.392317,5.247928
1,0,0,0,3.8700,9.603626,11.549303,7.426265,9.216746,6.523562,5.700440
1,0,0,0,3.8700,9.603626,11.549303,7.426265,9.357552,6.321928,6.209453
0,0,1,0,3.5200,10.153552,7.971544,10.453271,9.975848,4.584963,8.285402
0,0,1,0,3.5200,10.153552,7.971544,10.453271,9.243174,3.584963,9.055282
0,1,0,0,0.4400,9.605480,9.342075,9.631177,7.228819,4.169925,8.184875
0,1,0,0,0.4400,9.605480,9.342075,9.631177,8.622052,3.321928,8.784635
0,1,0,0,6.0400,7.672425,9.705632,11.202736,7.189825,4.000000,7.149747
0,1,0,0,6.0400,7.672425,9.705632,11.202736,2.807355,1.000000,10.561288
0,0,1,0,7.9000,9.204571,9.691744,9.682995,9.162391,2.584963,8.491853
0,0,1,0,7.9000,9.204571,9.691744,9.682995,8.592457,1.000000,9.068778
0,1,0,0,3.3700,8.194757,10.274960,10.107217,8.194757,3.321928,8.629357
0,1,0,0,3.3700,8.194757,10.274960,10.107217,7.794416,1.000000,10.007027
0,0,1,0,1.6200,7.400879,9.753217,11.424166,7.400879,3.000000,9.758223
0,0,1,0,1.6200,7.400879,9.753217,11.424166,7.033423,4.700440,7.994353
0,0,1,0,4.8600,9.942515,10.635718,8.000000,8.487840,3.807355,7.679480
0,0,1,0,4.8600,9.942515,10.635718,8.000000,8.266787,6.459432,6.044394
1,0,0,0,7.4900,10.575539,6.930737,11.070792,10.575539,1.000000,11.070792
