dt	VRAMGB	m	n	k	tile_m	tile_n	tile_k	ms
bf16	8.73	2069	574	1451	2069	2	779	4.225
bf16	8.73	2069	574	1451	859	4	1397	3.213
f64	7.05	2734	1038	607	395	16	487	19.352
f64	7.05	2734	1038	607	817	14	508	16.550
f32	6.26	18	8846	4063	18	2	1133	6.501
f32	6.26	18	8846	4063	11	2	1583	5.366
bf16	4.53	1791	495	1943	1791	2	940	4.561
bf16	4.53	1791	495	1943	546	6	782	4.870
f64	6.10	933	1281	1443	432	14	571	16.100
f64	6.10	933	1281	1443	76	2	1031	9.583
f64	4.30	947	1835	991	690	14	544	13.500
f64	4.30	947	1835	991	331	22	254	20.435
f16	0.11	1346	1230	1041	64	114	52	46.239
f16	0.11	1346	1230	1041	624	8	1010	2.819
f16	4.45	1070	223	7198	164	26	304	40.267
f16	4.45	1070	223	7198	124	2	2558	3.515
f32	6.77	1290	1329	1005	653	80	69	61.324
f32	6.77	1290	1329	1005	269	8	590	5.165
f32	6.44	1282	1102	1220	882	84	75	72.104
f32	6.44	1282	1102	1220	367	6	1003	4.567
f16	2.28	3958	125	3465	69	56	142	36.322
f16	2.28	3958	125	3465	715	4	277	17.222
f64	0.26	2097	362	340	175	116	70	41.751
f64	0.26	2097	362	340	991	10	309	4.330
f16	0.17	691	749	2556	629	18	214	9.208
f16	0.17	691	749	2556	497	2	2163	1.960
f32	4.86	1262	1237	1104	786	92	89	58.599
f32	4.86	1262	1237	1104	1229	2	259	4.463
f32	0.38	2326	264	2800	1844	80	102	212.649
f32	0.38	2326	264	2800	70	2	2038	3.616
f16	7.57	6802	112	2258	103	22	359	9.599
f16	7.57	6802	112	2258	3394	10	307	32.405
f64	4.46	1197	942	1528	103	22	359	16.846
f64	4.46	1197	942	1528	492	2	1095	9.832
bf16	4.06	363	1620	2932	363	2	2932	2.980
bf16	4.06	363	1620	2932	286	6	729	3.821
bf16	4.22	2559	2649	254	875	10	12	55.893
bf16	4.22	2559	2649	254	905	14	68	8.819
bf16	7.87	153	1199	9389	153	2	4096	3.941
bf16	7.87	153	1199	9389	84	2	4012	3.250
f64	3.80	6678	692	373	683	16	297	20.882
f64	3.80	6678	692	373	1947	18	339	26.219
f16	0.12	2015	1546	278	289	32	66	12.861
f16	0.12	2015	1546	278	83	18	239	2.797
f16	7.41	332	2388	2174	332	28	200	8.305
f16	7.41	332	2388	2174	48	2	1431	2.553
f32	0.14	209	946	811	209	34	238	2.745
f32	0.14	209	946	811	24	18	269	1.162
f64	0.34	857	1257	1601	857	14	566	15.404
f64	0.34	857	1257	1601	609	4	989	9.755
bf16	0.50	1457	857	1381	443	12	414	6.457
bf16	0.50	1457	857	1381	1390	6	1257	3.116
bf16	7.10	520	2030	1633	520	2	1633	2.989
bf16	7.10	520	2030	1633	255	2	1035	2.736
bf16	3.29	2559	1937	347	481	10	43	14.669
bf16	3.29	2559	1937	347	832	202	23	258.967
f32	2.75	1802	1554	616	221	76	58	53.312
f32	2.75	1802	1554	616	996	14	535	7.086
f16	8.17	488	2302	1534	488	36	221	8.167
f16	8.17	488	2302	1534	365	4	1448	2.467
f16	2.08	919	1474	1273	308	36	187	12.056
f16	2.08	919	1474	1273	669	6	1096	2.986
f16	4.53	487	2705	1308	487	18	412	4.629
f16	4.53	487	2705	1308	375	2	349	3.432
f32	0.21	751	257	52	39	1424	4	99.865
f32	0.21	751	257	52	52	72	8	7.145
f16	4.05	599	1541	1867	409	30	174	11.590
f16	4.05	599	1541	1867	495	2	1406	2.484
f32	7.75	827	2101	231	409	30	174	2.873
f32	7.75	827	2101	231	418	12	125	1.339
f16	2.91	821	502	974	76	60	134	13.623
f16	2.91	821	502	974	703	60	119	17.526
f32	3.58	1323	189	1600	1204	58	138	41.299
f32	3.58	1323	189	1600	438	2	1060	1.713
bf16	0.06	468	238	1014	468	2	1014	1.004
bf16	0.06	468	238	1014	420	94	61	31.271
f16	5.93	1424	361	779	103	66	122	15.427
f16	5.93	1424	361	779	1215	14	584	2.769
bf16	0.93	835	508	944	835	4	944	1.553
bf16	0.93	835	508	944	151	2	460	1.263
f32	2.65	418	2349	408	418	44	183	3.465
f32	2.65	418	2349	408	82	94	47	13.919
f32	6.41	819	1232	398	393	46	143	5.550
f32	6.41	819	1232	398	265	14	198	2.307
f64	7.96	792	1936	262	792	32	239	7.537
f64	7.96	792	1936	262	568	916	5	1694.810
bf16	1.33	536	2882	260	348	258	25	53.895
bf16	1.33	536	2882	260	519	20	193	1.507
f16	3.36	1745	293	784	102	32	250	5.820
f16	3.36	1745	293	784	831	2	748	1.049
f64	4.39	1085	271	1362	220	30	268	16.642
f64	4.39	1085	271	1362	332	24	162	16.837
f64	7.22	2687	2493	60	2687	10	27	19.879
f64	7.22	2687	2493	60	281	10	56	12.505
f16	5.67	1072	321	1164	83	58	137	17.192
f16	5.67	1072	321	1164	127	4	1083	1.251
f16	6.96	1087	865	427	138	46	175	6.700
f16	6.96	1087	865	427	503	92	86	17.666
f64	8.66	1302	1338	230	699	26	230	4.576
f64	8.66	1302	1338	230	999	20	205	6.319
bf16	1.29	455	820	1077	455	2	1077	1.415
bf16	1.29	455	820	1077	387	6	404	1.199
f16	5.43	535	999	751	208	50	160	6.883
f16	5.43	535	999	751	308	8	358	1.243
f64	7.22	968	253	1637	389	8	906	5.498
f64	7.22	968	253	1637	204	24	76	29.459
f16	3.38	281	1196	1194	281	18	239	2.542
f16	3.38	281	1196	1194	35	2	1135	0.884
f32	0.56	1559	1026	251	111	90	27	26.415
f32	0.56	1559	1026	251	1179	8	174	1.606
bf16	3.23	1006	859	465	1006	2	465	1.401
bf16	3.23	1006	859	465	414	4	329	1.029
f64	7.10	386	674	1540	386	4	1540	3.909
f64	7.10	386	674	1540	125	10	614	4.170
bf16	3.73	1519	793	333	1121	2	333	1.422
bf16	3.73	1519	793	333	674	416	9	735.435
f16	3.28	1184	479	707	56	48	165	5.932
f16	3.28	1184	479	707	7	68	111	2.665
f16	7.45	1447	320	866	107	56	145	13.286
f16	7.45	1447	320	866	824	102	6	677.190
bf16	3.72	1421	761	371	1248	2	371	1.518
bf16	3.72	1421	761	371	226	28	157	5.315
bf16	6.79	714	563	998	714	2	998	1.527
bf16	6.79	714	563	998	251	6	767	1.156
f32	6.62	1128	705	504	475	32	177	5.734
f32	6.62	1128	705	504	57	6	287	1.163
f32	2.40	199	1774	1132	199	16	502	2.806
f32	2.40	199	1774	1132	16	6	599	1.006
bf16	7.22	3844	67	1539	3844	2	1539	3.612
bf16	7.22	3844	67	1539	646	2	1481	3.168
bf16	0.16	851	456	1033	672	4	727	1.767
bf16	0.16	851	456	1033	254	16	105	6.660
f64	7.26	1036	1101	352	431	22	352	4.127
f64	7.26	1036	1101	352	498	30	62	13.481
f32	3.35	6046	104	634	365	34	83	29.554
f32	3.35	6046	104	634	1942	52	68	110.722
f32	2.47	2285	242	724	569	64	125	34.991
f32	2.47	2285	242	724	1251	6	649	2.574
f32	5.17	1396	1041	276	402	24	166	3.558
f32	5.17	1396	1041	276	338	20	238	2.513
f16	6.85	592	341	1986	91	46	173	16.936
f16	6.85	592	341	1986	376	4	1692	1.076
f64	6.02	791	1340	378	662	20	378	4.472
f64	6.02	791	1340	378	72	192	26	74.114
f16	1.58	466	841	1024	454	14	339	2.573
f16	1.58	466	841	1024	208	4	720	0.801
f16	3.90	336	1516	788	336	16	461	1.912
f16	3.90	336	1516	788	265	10	651	0.914
f64	0.42	1101	216	1685	1101	8	862	4.757
f64	0.42	1101	216	1685	849	4	317	3.989
f16	1.63	137	2979	980	137	4	980	1.409
f16	1.63	137	2979	980	53	4	454	1.161
f64	2.62	344	972	1199	344	6	1194	3.888
f64	2.62	344	972	1199	205	6	613	2.763
f16	4.54	159	1527	1652	159	10	309	2.051
f16	4.54	159	1527	1652	42	8	448	1.019
f64	6.87	479	1483	565	479	14	565	3.487
f64	6.87	479	1483	565	138	154	37	63.458
f16	6.26	1244	1695	190	497	50	110	5.008
f16	6.26	1244	1695	190	91	76	106	4.196
f32	3.94	976	995	413	500	34	175	5.372
f32	3.94	976	995	413	575	32	195	4.412
f16	2.09	824	762	639	134	32	237	4.642
f16	2.09	824	762	639	4	14	210	2.308
f32	3.21	147	1566	1738	147	12	622	2.774
f32	3.21	147	1566	1738	52	6	1003	1.119
f32	1.80	680	582	1013	680	30	260	5.689
f32	1.80	680	582	1013	531	8	859	1.364
f32	5.84	678	658	900	678	16	314	3.181
f32	5.84	678	658	900	137	4	856	0.965
f64	1.66	56	3095	2287	56	8	926	5.647
f64	1.66	56	3095	2287	53	4	1913	4.648
f32	6.07	1159	550	630	495	24	230	5.219
f32	6.07	1159	550	630	971	70	71	27.916
bf16	5.66	599	796	842	599	2	842	1.407
bf16	5.66	599	796	842	227	10	337	1.535
f64	1.73	748	1004	535	748	14	516	5.082
f64	1.73	748	1004	535	370	6	282	3.552
f16	2.27	3596	394	282	778	10	282	2.494
f16	2.27	3596	394	282	2357	26	162	6.917
f16	2.86	1334	840	358	151	34	198	4.082
f16	2.86	1334	840	358	497	4	246	1.030
bf16	2.96	848	729	649	848	2	649	1.516
bf16	2.96	848	729	649	327	8	625	1.248
f32	7.17	428	950	987	428	6	449	1.731
f32	7.17	428	950	987	129	36	37	16.806
f64	8.68	862	628	740	387	10	740	4.357
f64	8.68	862	628	740	266	8	633	3.194
f16	1.14	2200	1972	92	2200	20	51	3.914
f16	1.14	2200	1972	92	2152	148	54	17.669
f32	6.77	324	1486	832	324	6	612	1.791
f32	6.77	324	1486	832	220	34	131	4.494
f16	4.15	865	1069	434	127	38	208	4.994
f16	4.15	865	1069	434	260	2	255	1.018
f64	0.23	636	207	1553	636	6	1045	3.028
f64	0.23	636	207	1553	560	8	977	2.321
f64	0.17	643	1088	574	643	12	467	5.303
f64	0.17	643	1088	574	509	16	429	4.831
bf16	0.75	576	743	937	574	2	937	1.411
bf16	0.75	576	743	937	437	4	601	0.894
f32	3.44	1704	163	1444	1047	28	292	15.374
f32	3.44	1704	163	1444	1054	14	247	8.288
bf16	4.77	941	611	697	941	2	697	1.466
bf16	4.77	941	611	697	860	10	393	1.632
bf16	4.58	459	602	1453	459	2	1453	1.594
bf16	4.58	459	602	1453	112	8	814	1.238
bf16	8.15	2028	274	720	2028	2	720	1.632
bf16	8.15	2028	274	720	1898	28	54	28.453
f64	5.80	1003	375	1065	384	10	749	5.494
f64	5.80	1003	375	1065	365	2	907	2.688
f16	6.58	1025	319	1226	92	42	187	10.459
f16	6.58	1025	319	1226	563	8	463	2.018
f32	5.77	1821	427	515	333	20	174	5.882
f32	5.77	1821	427	515	1677	46	88	18.663
f32	0.65	917	430	1017	917	34	229	9.181
f32	0.65	917	430	1017	789	12	389	2.663
f32	5.90	1229	1302	251	381	12	210	2.359
f32	5.90	1229	1302	251	856	8	229	1.265
f16	0.96	662	470	1290	271	18	280	4.051
f16	0.96	662	470	1290	567	6	395	1.629
f64	1.85	1208	327	1016	899	10	811	6.429
f64	1.85	1208	327	1016	73	16	250	5.768
f64	1.77	317	851	1484	317	6	1308	4.708
f64	1.77	317	851	1484	180	4	856	2.685
f32	7.80	842	478	997	842	6	464	2.325
f32	7.80	842	478	997	745	2	739	1.342
bf16	4.07	1028	664	587	1028	2	587	1.642
bf16	4.07	1028	664	587	944	100	66	37.187
f16	0.44	699	326	1759	370	14	386	3.992
f16	0.44	699	326	1759	314	2	1265	0.856
f64	5.80	483	1022	813	404	10	813	3.700
f64	5.80	483	1022	813	120	4	309	3.488
bf16	5.90	814	513	960	814	2	960	1.589
bf16	5.90	814	513	960	572	42	38	33.280
bf16	3.87	778	2997	172	595	92	52	12.045
bf16	3.87	778	2997	172	656	80	74	9.532
f32	3.52	1139	251	1402	1007	24	312	9.367
f32	3.52	1139	251	1402	606	12	532	4.027
f16	0.44	779	649	793	150	18	291	3.329
f16	0.44	779	649	793	394	10	441	1.306
f16	6.04	204	835	2357	146	16	142	4.280
f16	6.04	204	835	2357	7	2	1511	1.104
f32	7.90	590	827	822	573	6	360	1.976
f32	7.90	590	827	822	386	2	537	0.935
f16	3.37	293	1239	1103	293	10	396	1.790
f16	3.37	293	1239	1103	222	2	1029	0.824
f32	1.62	169	863	2748	169	8	866	1.862
f32	1.62	169	863	2748	131	26	255	3.718
f32	4.86	984	1591	256	359	14	205	2.300
f32	4.86	984	1591	256	308	88	66	12.693
bf16	7.49	1526	122	2151	1526	2	2151	2.400
bf16	7.49	1526	122	2151	647	4	1929	2.631
f32	1.96	774	1447	358	320	24	154	6.621
f32	1.96	774	1447	358	42	66	55	7.211
bf16	6.55	552	531	1369	552	2	1369	1.386
bf16	6.55	552	531	1369	275	2	1079	0.996
bf16	2.69	958	739	567	731	2	567	1.358
bf16	2.69	958	739	567	555	18	364	2.424
bf16	0.91	1460	251	1094	833	2	1094	1.653
bf16	0.91	1460	251	1094	27	6	1066	0.976
f32	7.65	686	1658	352	400	12	246	1.911
f32	7.65	686	1658	352	198	12	208	1.266
bf16	2.85	1259	412	774	700	2	774	1.443
bf16	2.85	1259	412	774	893	16	335	3.667
f16	7.48	751	754	709	87	50	160	10.290
f16	7.48	751	754	709	198	14	116	3.339
f16	0.00	47	169	120	47	68	120	1.048
f16	0.00	47	169	120	43	420	12	8.207
bf16	5.97	1933	665	312	496	2	312	1.463
bf16	5.97	1933	665	312	1732	8	286	1.712
f32	1.67	1425	215	1310	777	30	270	13.233
f32	1.67	1425	215	1310	855	20	219	9.174
bf16	5.66	803	548	911	803	2	911	1.553
bf16	5.66	803	548	911	801	220	18	301.469
f32	6.89	584	1301	528	563	10	363	1.849
f32	6.89	584	1301	528	152	22	294	1.892
bf16	3.69	1834	1311	167	1095	6	80	3.744
bf16	3.69	1834	1311	167	1454	16	108	2.497
f64	3.29	1075	804	464	496	12	464	4.510
f64	3.29	1075	804	464	913	22	189	7.160
f64	5.41	1680	1274	187	1162	12	187	4.367
f64	5.41	1680	1274	187	316	236	15	229.640
bf16	7.55	637	1660	379	637	2	379	1.393
bf16	7.55	637	1660	379	397	28	179	2.713
bf16	0.95	127	2568	1229	127	4	1229	1.460
bf16	0.95	127	2568	1229	24	6	1093	0.906
f32	0.35	479	1718	25	479	88	12	4.460
f32	0.35	479	1718	25	433	4410	1	1094.904
f64	3.73	1439	499	559	407	14	559	4.963
f64	3.73	1439	499	559	791	10	337	3.872
bf16	4.87	719	422	328	719	2	328	1.089
bf16	4.87	719	422	328	275	42	158	4.297
f16	6.94	421	311	761	73	72	113	9.872
f16	6.94	421	311	761	342	8	432	0.693
f64	3.47	263	457	829	263	8	829	1.899
f64	3.47	263	457	829	51	14	383	1.764
f16	7.45	364	418	656	68	66	122	6.983
f16	7.45	364	418	656	265	2	626	0.341
f64	8.57	269	745	498	269	16	498	1.670
f64	8.57	269	745	498	101	8	381	1.183
bf16	1.33	513	208	935	513	2	935	1.415
bf16	1.33	513	208	935	162	6	607	0.799
f16	3.05	633	659	239	143	36	190	2.399
f16	3.05	633	659	239	228	12	181	0.758
f16	7.61	619	286	564	102	62	130	8.701
f16	7.61	619	286	564	145	12	419	1.002
bf16	7.52	453	475	463	453	2	463	1.018
bf16	7.52	453	475	463	214	6	139	0.771
f16	5.35	579	169	1020	87	42	189	7.862
f16	5.35	579	169	1020	364	4	891	0.680
f64	7.03	645	923	167	602	28	167	2.428
f64	7.03	645	923	167	258	266	15	101.974
f64	5.00	824	691	175	450	26	175	2.064
f64	5.00	824	691	175	38	46	171	2.622
f64	2.41	488	646	316	488	14	316	5.051
f64	2.41	488	646	316	262	172	26	50.769
f16	1.43	514	589	330	98	30	228	2.194
f16	1.43	514	589	330	159	68	119	4.380
f32	0.50	47	604	3485	47	4	1383	1.484
f32	0.50	47	604	3485	1	6	690	1.931
f16	2.99	262	737	517	262	18	311	1.451
f16	2.99	262	737	517	173	86	59	9.321
f16	2.91	130	1557	493	130	6	493	1.006
f16	2.91	130	1557	493	96	30	256	0.739
f16	6.26	497	946	212	119	40	180	2.187
f16	6.26	497	946	212	237	14	159	0.729
f16	0.00	52	230	216	52	36	216	0.776
f16	0.00	52	230	216	18	34	189	0.354
f64	3.30	529	622	303	383	20	303	2.203
f64	3.30	529	622	303	352	26	257	1.933
f32	4.97	110	468	1931	110	4	926	1.167
f32	4.97	110	468	1931	62	4	723	0.460
f32	7.03	458	205	1061	458	4	590	1.380
f32	7.03	458	205	1061	165	8	714	1.016
f32	6.38	77	3408	376	77	4	376	1.024
f32	6.38	77	3408	376	2	18	144	1.501
f32	4.88	632	212	745	548	16	331	4.833
f32	4.88	632	212	745	414	12	449	1.492
f64	0.13	76	460	2064	76	4	1498	1.815
f64	0.13	76	460	2064	46	2	1845	0.753
f64	0.22	221	689	653	221	12	653	1.834
f64	0.22	221	689	653	183	12	502	1.409
f16	4.06	811	225	545	86	36	216	4.079
f16	4.06	811	225	545	590	6	378	0.755
f16	0.00	159	228	260	116	26	260	1.094
f16	0.00	159	228	260	119	42	149	0.820
f32	5.98	414	380	634	414	10	360	1.609
f32	5.98	414	380	634	385	12	517	0.925
f16	1.34	515	213	907	133	22	282	3.204
f16	1.34	515	213	907	509	158	24	108.498
f32	7.51	159	625	1001	159	4	599	1.029
f32	7.51	159	625	1001	140	12	510	0.604
bf16	6.29	451	509	434	451	2	434	1.010
bf16	6.29	451	509	434	308	20	366	1.194
f32	2.37	435	429	534	435	28	281	2.173
f32	2.37	435	429	534	276	22	101	2.575
f32	4.18	1623	43	1410	752	12	622	6.129
f32	4.18	1623	43	1410	392	10	602	4.889
bf16	1.61	374	276	965	374	2	965	1.022
bf16	1.61	374	276	965	279	24	338	2.030
f32	7.14	85	1588	739	85	4	657	1.078
f32	7.14	85	1588	739	81	2	245	0.557
f16	0.60	231	463	930	231	8	367	1.329
f16	0.60	231	463	930	199	8	255	0.690
f64	4.86	533	273	684	298	14	555	2.441
f64	4.86	533	273	684	404	14	356	1.859
f16	0.79	577	72	2382	167	26	312	8.389
f16	0.79	577	72	2382	301	2	2329	0.866
f32	0.50	519	441	436	519	36	204	3.369
f32	0.50	519	441	436	155	2	425	0.519
f16	7.45	292	478	714	88	52	155	4.471
f16	7.45	292	478	714	4	18	258	0.824
f32	3.26	326	957	319	326	28	287	1.736
f32	3.26	326	957	319	271	30	222	1.154
f32	6.22	466	571	374	308	16	241	1.610
f32	6.22	466	571	374	309	28	281	1.421
f64	1.80	461	509	424	461	16	424	2.047
f64	1.80	461	509	424	104	36	227	2.612
f16	5.96	88	1185	949	88	10	403	4.380
f16	5.96	88	1185	949	13	2	901	0.367
f64	7.50	488	383	533	265	14	533	2.153
f64	7.50	488	383	533	282	26	99	4.909
f32	7.56	352	637	445	352	8	295	1.234
f32	7.56	352	637	445	106	18	421	0.912
bf16	4.11	408	807	303	408	2	303	0.986
bf16	4.11	408	807	303	31	44	113	1.646
f64	4.97	529	74	2546	529	2	2190	2.084
f64	4.97	529	74	2546	15	4	353	1.150
f32	6.10	652	124	1227	652	6	555	2.028
f32	6.10	652	124	1227	289	8	960	1.481
bf16	6.62	247	710	568	247	2	568	0.953
bf16	6.62	247	710	568	47	6	425	0.413
bf16	0.00	57	91	45	57	82	45	1.066
bf16	0.00	57	91	45	29	106	23	0.698
f32	0.15	426	537	436	426	36	216	2.853
f32	0.15	426	537	436	57	16	341	0.908
f16	8.06	997	1077	93	819	54	90	3.875
f16	8.06	997	1077	93	746	68	78	3.920
f64	5.39	832	390	307	306	22	307	2.269
f64	5.39	832	390	307	394	238	30	95.292
f16	4.72	596	774	216	127	32	172	2.066
f16	4.72	596	774	216	247	18	139	1.007
bf16	0.20	747	677	197	127	72	77	6.725
bf16	0.20	747	677	197	14	28	174	0.588
f64	7.95	231	763	566	231	14	566	1.977
f64	7.95	231	763	566	213	6	392	1.038
bf16	0.81	401	420	591	322	4	591	1.018
bf16	0.81	401	420	591	36	16	148	1.341
bf16	6.48	404	439	562	404	2	562	1.041
bf16	6.48	404	439	562	107	32	195	2.295
f64	8.26	708	269	524	181	14	524	2.193
f64	8.26	708	269	524	226	18	356	2.360
f16	0.39	845	230	511	63	14	206	1.905
f16	0.39	845	230	511	698	14	238	1.774
f64	3.05	303	633	520	303	14	520	1.801
f64	3.05	303	633	520	198	12	490	1.181
f32	3.99	233	294	1454	233	8	497	1.492
f32	3.99	233	294	1454	156	4	506	0.568
f64	4.83	563	439	403	281	20	403	2.067
f64	4.83	563	439	403	371	6	212	1.203
f16	6.41	384	317	819	56	62	115	9.043
f16	6.41	384	317	819	81	16	318	1.483
f16	4.98	288	581	594	141	30	198	2.217
f16	4.98	288	581	594	82	8	123	0.791
bf16	1.76	358	980	284	358	18	284	1.179
bf16	1.76	358	980	284	103	548	9	223.325
f32	0.50	511	371	525	511	34	231	3.201
f32	0.50	511	371	525	351	12	348	0.895
f64	1.89	302	276	1196	302	6	1196	1.690
f64	1.89	302	276	1196	62	4	759	0.976
f64	5.62	897	296	375	240	20	375	2.451
f64	5.62	897	296	375	736	14	298	1.937
f16	3.44	725	386	357	84	36	216	2.822
f16	3.44	725	386	357	540	22	344	1.505
f16	2.62	497	588	341	88	30	209	2.134
f16	2.62	497	588	341	42	12	167	0.829
bf16	2.74	586	217	785	586	2	785	0.952
bf16	2.74	586	217	785	493	82	98	19.525
f16	6.34	449	790	281	122	34	222	1.973
f16	6.34	449	790	281	170	10	176	0.601
f16	0.28	338	525	562	177	10	372	1.271
f16	0.28	338	525	562	135	4	428	0.395
f32	2.53	911	114	955	410	26	297	6.368
f32	2.53	911	114	955	351	4	278	1.335
f32	4.35	483	516	400	261	24	244	120.937
f32	4.35	483	516	400	332	4	384	0.493
f32	0.23	395	394	640	395	28	289	131.099
f32	0.23	395	394	640	149	12	466	0.985
f16	0.51	190	1679	245	190	10	245	1.133
f16	0.51	190	1679	245	69	22	187	0.519
f16	3.86	603	577	287	110	32	190	2.476
f16	3.86	603	577	287	361	8	103	1.044
f32	7.09	736	352	385	271	12	198	1.832
f32	7.09	736	352	385	524	20	145	2.319
f32	0.02	415	574	419	415	32	229	2.215
f32	0.02	415	574	419	365	4	366	0.431
f16	6.75	419	517	461	84	48	170	3.959
f16	6.75	419	517	461	236	58	50	9.608
f32	3.43	117	942	899	117	12	540	1.214
f32	3.43	117	942	899	65	22	152	1.458
f64	0.42	86	712	1625	86	4	1475	1.883
f64	0.42	86	712	1625	79	4	1534	1.200
f16	4.34	498	485	413	75	36	187	3.048
f16	4.34	498	485	413	127	142	47	22.766
bf16	3.39	488	387	528	488	2	528	1.034
bf16	3.39	488	387	528	156	2	358	0.377
f32	1.74	357	560	499	357	26	295	1.918
f32	1.74	357	560	499	79	2	317	0.446
bf16	7.44	295	555	609	295	2	609	0.981
bf16	7.44	295	555	609	150	38	169	2.516
f32	5.63	612	539	302	204	16	169	1.763
f32	5.63	612	539	302	594	16	258	1.100
f32	7.51	763	769	170	194	8	170	1.061
f32	7.51	763	769	170	498	106	70	7.896
f16	0.35	1635	1159	19	1635	14	19	1.182
f16	0.35	1635	1159	19	200	56	18	4.579
f32	1.43	701	568	250	355	18	149	2.013
f32	1.43	701	568	250	617	30	220	1.685
f16	0.20	478	1191	175	169	18	158	1.505
f16	0.20	478	1191	175	39	14	144	0.551
f32	2.92	245	464	875	245	14	422	1.649
f32	2.92	245	464	875	215	38	147	3.173
f64	7.83	358	347	804	266	10	804	2.109
f64	7.83	358	347	804	81	2	423	1.070
f32	4.90	198	484	1037	198	6	494	1.257
f32	4.90	198	484	1037	83	10	750	0.683
f16	6.64	649	380	405	103	48	170	4.495
f16	6.64	649	380	405	449	34	239	2.114
bf16	2.52	2353	211	200	308	2	200	1.115
bf16	2.52	2353	211	200	1898	122	42	45.132
bf16	5.03	576	368	471	576	2	471	0.969
bf16	5.03	576	368	471	530	60	77	9.446
f64	6.59	270	1512	244	270	18	244	1.881
f64	6.59	270	1512	244	193	24	240	2.013
f64	4.96	873	1646	69	873	10	36	4.280
f64	4.96	873	1646	69	159	438	14	89.929
