epoch_s	target	dew_point_c
1740912300	7.808	3.875
1740913200	7.766	4.123
1740914100	7.683	3.869
1740915000	8.161	4.613
1740915900	8.158	4.954
1740916800	8.133	4.321
1740917700	8.389	5.037
1740918600	9.092	5.887
1740919500	9.041	nan
1740920400	9.211	5.700
1740921300	9.412	6.428
1740922200	10.102	6.940
1740923100	10.074	7.438
1740924000	10.329	7.273
1740924900	10.561	7.689
1740925800	10.978	8.272
1740926700	11.222	8.190
1740927600	11.660	9.113
1740928500	11.356	8.743
1740929400	11.756	nan
1740930300	12.096	9.513
1740931200	12.468	10.025
1740932100	12.302	10.431
1740933000	12.378	10.435
1740933900	13.078	10.579
1740934800	12.981	11.078
1740935700	13.015	10.447
1740936600	12.785	10.510
1740937500	13.163	10.871
1740938400	13.107	10.667
1740939300	13.204	nan
1740940200	13.287	10.967
1740941100	13.385	10.929
1740942000	13.176	10.759
1740942900	13.092	10.987
1740943800	13.058	10.328
1740944700	12.937	10.861
1740945600	12.670	10.219
1740946500	12.685	10.604
1740947400	12.543	10.103
1740948300	12.479	10.003
1740949200	12.025	nan
1740950100	11.714	8.910
1740951000	11.838	8.860
1740951900	11.684	9.278
1740952800	11.082	8.284
1740953700	11.173	8.296
1740954600	11.201	7.962
1740955500	10.536	7.366
1740956400	10.448	6.962
1740957300	10.073	7.098
1740958200	9.784	6.634
1740959100	9.417	nan
1740960000	9.589	5.950
1740960900	9.253	5.531
1740961800	8.736	5.281
1740962700	8.691	4.915
1740963600	8.343	4.347
1740964500	8.118	4.641
1740965400	8.166	4.400
1740966300	7.674	3.831
1740967200	7.339	3.699
1740968100	7.638	3.161
1740969000	7.371	nan
1740969900	7.240	2.683
1740970800	7.307	3.210
1740971700	7.348	2.955
1740972600	7.379	3.567
1740973500	7.062	2.807
1740974400	7.135	3.008
1740975300	6.999	2.872
1740976200	7.374	3.124
1740977100	7.609	3.573
1740978000	7.379	3.132
1740978900	7.797	nan
1740979800	7.691	3.371
1740980700	7.570	3.535
1740981600	8.218	3.908
1740982500	8.138	4.142
1740983400	8.071	4.266
1740984300	8.243	4.449
1740985200	8.854	4.755
1740986100	8.735	4.787
1740987000	9.245	5.377
1740987900	9.390	6.208
1740988800	10.004	nan
1740989700	10.114	6.806
1740990600	9.993	7.007
1740991500	10.353	6.900
1740992400	11.057	7.740
1740993300	11.003	8.011
1740994200	11.346	8.059
1740995100	11.529	8.560
1740996000	11.970	8.851
1740996900	11.752	8.973
1740997800	12.247	9.327
1740998700	12.019	nan
1740999600	12.576	10.108
1741000500	12.683	10.023
1741001400	12.650	10.214
1741002300	13.097	10.744
1741003200	13.111	10.681
1741004100	13.599	10.830
1741005000	13.569	11.213
1741005900	13.673	11.279
1741006800	13.395	11.253
1741007700	13.331	11.086
1741008600	13.139	nan
1741009500	13.398	10.763
1741010400	13.245	10.861
1741011300	13.139	10.787
1741012200	12.987	10.473
1741013100	12.836	10.885
1741014000	12.410	9.982
1741014900	12.789	10.505
1741015800	12.673	9.916
1741016700	12.257	9.848
1741017600	12.303	9.704
1741018500	12.023	nan
1741019400	11.341	8.360
1741020300	11.435	8.484
1741021200	11.148	8.710
1741022100	10.830	8.078
1741023000	10.767	7.449
1741023900	9.930	7.342
1741024800	10.056	7.257
1741025700	9.905	6.439
1741026600	9.524	5.944
1741027500	9.388	6.326
1741028400	9.300	nan
1741029300	8.854	5.481
1741030200	8.603	4.966
1741031100	8.389	4.885
1741032000	8.178	4.918
1741032900	7.950	4.207
1741033800	7.316	4.060
1741034700	7.578	3.698
1741035600	7.424	3.494
1741036500	7.347	3.821
1741037400	7.180	3.250
1741038300	6.823	nan
1741039200	7.150	3.206
1741040100	6.851	3.146
1741041000	7.086	3.027
1741041900	7.088	3.148
1741042800	7.089	2.993
1741043700	6.942	2.941
1741044600	7.125	3.176
1741045500	7.347	3.594
1741046400	7.061	3.487
1741047300	7.344	3.352
1741048200	7.697	nan
1741049100	7.999	4.378
1741050000	7.938	4.147
1741050900	8.144	4.069
1741051800	8.277	4.718
1741052700	8.499	4.925
1741053600	8.803	5.016
1741054500	8.855	5.503
1741055400	9.165	5.864
1741056300	9.314	6.160
1741057200	9.874	6.078
1741058100	10.318	nan
1741059000	10.369	6.735
1741059900	10.345	7.231
1741060800	10.800	7.949
1741061700	11.522	8.478
1741062600	11.898	8.456
1741063500	11.456	8.758
1741064400	12.166	9.215
1741065300	12.525	9.677
1741066200	12.323	9.401
1741067100	12.726	10.017
1741068000	12.868	nan
1741068900	12.589	10.200
1741069800	12.886	10.447
1741070700	13.087	10.639
1741071600	13.722	11.156
1741072500	13.178	10.854
1741073400	13.269	10.525
1741074300	13.632	10.887
1741075200	13.388	11.183
1741076100	13.399	10.617
1741077000	13.454	10.615
1741077900	13.247	nan
1741078800	13.494	10.987
1741079700	13.579	11.057
1741080600	13.657	10.876
1741081500	12.863	10.415
1741082400	12.985	10.154
1741083300	12.792	10.018
1741084200	12.374	9.776
1741085100	12.235	9.531
1741086000	12.481	9.138
1741086900	12.026	9.260
1741087800	11.948	nan
1741088700	11.167	7.997
1741089600	11.004	7.808
1741090500	10.761	7.631
1741091400	10.628	7.733
1741092300	10.508	6.852
1741093200	10.131	7.150
1741094100	9.949	6.698
1741095000	9.454	5.948
1741095900	9.091	5.254
1741096800	9.397	5.485
1741097700	8.415	nan
1741098600	8.413	4.959
1741099500	8.015	4.356
1741100400	7.843	4.274
1741101300	7.865	4.152
1741102200	7.758	3.669
1741103100	7.484	3.315
1741104000	7.555	3.652
1741104900	7.286	3.383
1741105800	7.112	3.149
1741106700	6.894	3.300
1741107600	6.648	nan
1741108500	7.031	3.148
1741109400	7.113	3.180
1741110300	6.950	3.341
1741111200	6.948	3.256
1741112100	6.888	3.112
1741113000	7.165	3.721
1741113900	6.945	3.379
1741114800	7.091	3.225
1741115700	7.254	3.627
1741116600	7.243	3.779
1741117500	7.361	nan
1741118400	7.860	4.363
1741119300	8.230	4.860
1741120200	8.300	5.139
1741121100	8.254	5.034
1741122000	8.712	5.396
1741122900	8.893	5.648
1741123800	8.988	5.833
1741124700	9.213	6.015
1741125600	9.594	6.403
1741126500	9.707	6.774
1741127400	9.982	nan
1741128300	10.334	7.377
1741129200	10.708	7.593
1741130100	10.998	7.941
1741131000	11.710	8.999
1741131900	11.598	9.138
1741132800	11.715	9.280
1741133700	12.006	9.432
1741134600	12.252	10.007
1741135500	12.240	9.534
1741136400	12.701	10.540
1741137300	13.078	nan
1741138200	12.914	10.614
1741139100	13.062	10.980
1741140000	13.054	10.584
1741140900	13.169	10.687
1741141800	13.004	10.634
1741142700	13.069	10.989
1741143600	13.189	11.072
1741144500	13.110	10.812
1741145400	13.455	10.924
1741146300	13.202	10.816
1741147200	13.385	nan
1741148100	12.984	10.213
1741149000	12.850	10.452
1741149900	13.059	10.151
1741150800	12.511	10.189
1741151700	12.636	9.560
1741152600	12.413	9.934
1741153500	11.919	8.954
1741154400	12.407	9.313
1741155300	11.892	8.900
1741156200	11.472	8.469
1741157100	11.592	nan
1741158000	11.291	8.396
1741158900	10.507	7.247
1741159800	10.925	7.188
1741160700	10.085	7.028
1741161600	9.804	6.314
1741162500	9.580	5.927
1741163400	9.393	5.536
1741164300	9.332	5.249
1741165200	9.267	5.259
1741166100	8.592	5.181
1741167000	8.656	nan
1741167900	8.384	4.607
1741168800	7.941	3.825
1741169700	8.193	4.259
1741170600	7.755	3.724
1741171500	7.939	3.875
1741172400	7.495	3.230
1741173300	7.575	3.358
1741174200	7.388	3.129
1741175100	7.568	3.474
