epoch_s	ambient_c	wind_kph	target	dew_point_c
1740848400	9.678	4.772	8.249	4.671
1740849300	10.158	4.584	8.571	4.930
1740850200	10.171	4.692	8.675	nan
1740851100	10.836	5.264	9.142	5.806
1740852000	10.633	5.210	9.164	5.569
1740852900	11.192	5.001	9.505	6.061
1740853800	11.274	5.349	9.737	6.077
1740854700	11.868	5.313	9.853	6.739
1740855600	12.323	5.145	10.278	7.049
1740856500	12.716	5.480	10.538	7.445
1740857400	12.854	5.855	10.852	7.765
1740858300	12.985	5.591	11.119	8.072
1740859200	13.478	5.825	11.275	8.184
1740860100	13.586	6.065	11.476	nan
1740861000	14.195	5.979	12.090	8.919
1740861900	14.220	6.339	11.880	9.021
1740862800	14.497	6.435	12.191	9.724
1740863700	15.090	6.189	12.724	9.813
1740864600	14.952	7.037	12.826	9.922
1740865500	15.209	7.159	12.997	10.222
1740866400	15.368	6.953	12.824	10.636
1740867300	15.904	6.980	13.286	10.641
1740868200	15.923	6.775	13.442	10.642
1740869100	15.610	7.553	13.397	10.655
1740870000	15.780	7.579	13.464	nan
1740870900	15.724	7.650	13.316	10.490
1740871800	16.091	7.755	13.532	11.381
1740872700	15.894	7.848	13.437	11.145
1740873600	16.184	7.615	13.681	10.975
1740874500	15.965	7.550	13.350	11.001
1740875400	15.555	8.070	13.173	10.847
1740876300	15.891	7.582	13.311	11.149
1740877200	15.585	7.591	13.196	10.386
1740878100	15.473	7.599	13.328	10.532
1740879000	15.062	8.215	12.912	9.883
1740879900	15.222	7.901	12.919	nan
1740880800	14.908	7.865	12.623	10.090
1740881700	14.461	7.848	12.170	9.284
1740882600	14.382	7.730	12.313	9.453
1740883500	14.027	8.374	12.013	8.809
1740884400	13.777	7.656	11.739	8.543
1740885300	13.080	8.240	11.155	8.364
1740886200	12.783	8.327	11.020	7.950
1740887100	12.981	7.699	11.162	8.229
1740888000	12.253	8.043	10.678	7.394
1740888900	12.114	8.041	10.520	7.244
1740889800	11.612	7.785	10.237	nan
1740890700	11.403	7.640	9.732	6.614
1740891600	11.196	7.923	9.836	6.144
1740892500	10.676	7.524	9.332	5.964
1740893400	10.165	7.496	8.822	5.023
1740894300	10.235	7.827	9.018	5.045
1740895200	9.991	7.142	8.867	5.099
1740896100	9.662	7.598	8.622	4.449
1740897000	9.243	7.072	8.253	4.534
1740897900	9.066	6.827	8.064	4.316
1740898800	8.894	7.428	7.917	3.606
1740899700	8.354	6.962	7.501	nan
1740900600	8.408	7.120	7.271	3.145
1740901500	8.536	6.791	7.391	3.727
1740902400	8.408	6.257	7.351	3.257
1740903300	8.040	6.601	6.984	2.825
1740904200	8.120	6.565	7.333	3.086
1740905100	8.004	6.608	6.934	2.806
1740906000	7.802	6.423	6.909	2.891
1740906900	8.129	5.849	7.272	3.191
1740907800	7.935	5.729	6.725	2.995
1740908700	8.370	5.732	7.295	3.434
1740909600	7.963	5.868	6.763	nan
1740910500	8.438	5.319	7.361	3.171
1740911400	8.719	5.260	7.632	3.588
1740912300	8.458	5.055	7.162	3.569
1740913200	8.921	5.047	7.657	3.743
1740914100	8.966	5.288	7.530	4.222
1740915000	9.370	4.673	7.871	4.499
1740915900	9.530	4.580	7.956	4.258
1740916800	10.026	5.061	8.335	5.294
1740917700	9.847	4.405	8.292	4.597
1740918600	10.681	4.684	8.932	5.406
1740919500	10.512	4.262	8.968	nan
1740920400	11.203	4.522	9.418	6.411
1740921300	11.330	4.351	9.597	6.455
1740922200	11.819	4.300	9.854	6.617
1740923100	12.301	3.900	10.284	7.218
1740924000	12.388	3.862	10.421	7.502
1740924900	12.975	4.175	10.880	8.246
1740925800	12.917	4.457	10.897	7.796
1740926700	13.286	3.994	11.213	8.370
1740927600	13.408	3.689	11.128	8.586
1740928500	14.125	3.852	11.621	9.168
1740929400	14.398	3.813	12.017	nan
1740930300	14.766	3.698	12.333	9.837
1740931200	14.851	3.842	12.404	9.912
1740932100	15.094	4.169	12.466	10.308
1740933000	15.010	3.722	12.439	9.822
1740933900	15.323	4.374	12.719	10.343
1740934800	15.816	3.767	13.229	10.538
1740935700	15.795	4.205	12.880	10.621
1740936600	15.785	3.986	13.209	10.891
1740937500	15.671	4.189	12.902	10.808
1740938400	15.997	3.819	13.115	11.152
1740939300	16.195	4.444	13.416	nan
1740940200	15.762	3.940	13.019	10.662
1740941100	15.841	4.019	13.269	10.940
1740942000	16.094	4.761	13.267	11.319
1740942900	16.130	4.619	13.218	10.864
1740943800	16.024	5.016	13.308	11.107
1740944700	15.512	4.706	12.759	10.587
1740945600	15.678	5.104	12.982	10.407
1740946500	15.244	4.925	12.801	10.176
1740947400	14.773	4.666	12.387	9.854
1740948300	14.772	5.312	12.546	9.594
1740949200	14.422	5.412	11.887	nan
1740950100	14.322	5.550	11.951	9.605
1740951000	14.001	5.512	11.736	8.942
1740951900	13.637	5.722	11.545	8.728
1740952800	13.745	5.271	11.610	8.618
1740953700	12.992	5.492	11.044	7.905
1740954600	12.939	5.747	10.855	7.703
1740955500	12.500	6.319	10.690	7.784
1740956400	12.055	6.334	10.304	7.083
1740957300	12.118	6.449	10.279	7.017
1740958200	11.283	6.030	9.634	6.580
1740959100	10.942	6.843	9.416	nan
1740960000	10.747	6.421	9.330	5.650
1740960900	10.824	6.581	9.263	5.990
1740961800	10.095	6.446	8.887	5.026
1740962700	10.023	6.640	8.683	4.751
1740963600	9.773	6.859	8.437	4.862
1740964500	9.443	7.201	8.362	4.324
1740965400	8.976	7.268	7.902	3.708
1740966300	8.883	7.231	7.738	3.636
1740967200	8.987	7.731	7.824	3.804
1740968100	8.253	7.161	7.301	3.144
1740969000	8.653	7.488	7.635	nan
1740969900	8.362	7.925	7.605	3.318
1740970800	8.324	7.305	7.514	3.487
1740971700	8.305	7.445	7.459	3.365
1740972600	8.130	7.658	7.388	3.098
1740973500	7.942	7.737	6.952	2.769
1740974400	7.800	7.970	7.046	2.925
1740975300	8.307	7.780	7.328	3.236
1740976200	7.985	7.892	7.354	3.174
1740977100	7.928	7.646	7.183	2.958
1740978000	8.143	8.348	7.425	3.296
1740978900	8.440	7.874	7.339	nan
1740979800	8.543	7.924	7.632	3.542
1740980700	8.786	8.193	7.851	3.821
1740981600	8.891	7.927	7.718	3.867
1740982500	9.478	7.851	8.207	4.293
1740983400	9.351	8.177	8.193	4.569
1740984300	9.636	7.541	8.505	4.851
1740985200	9.928	8.008	8.889	5.215
1740986100	10.513	8.211	9.368	5.304
1740987000	10.784	7.801	9.511	6.075
1740987900	10.673	7.558	9.147	5.770
1740988800	11.048	7.481	9.502	nan
1740989700	11.806	7.275	10.312	6.607
1740990600	11.684	7.528	10.112	6.820
1740991500	12.020	7.574	10.378	6.943
1740992400	12.834	7.079	11.061	7.872
1740993300	12.870	7.545	11.147	7.805
1740994200	13.541	7.039	11.464	8.839
1740995100	13.368	7.323	11.324	8.557
1740996000	13.975	6.653	11.700	8.679
1740996900	13.988	6.918	11.719	9.094
1740997800	14.193	6.516	12.196	9.247
1740998700	14.457	6.275	12.315	nan
1740999600	14.750	6.845	12.298	10.012
1741000500	14.836	6.464	12.341	10.106
1741001400	15.208	6.502	12.806	10.033
1741002300	15.566	6.478	13.018	10.502
1741003200	15.834	6.002	13.133	10.969
1741004100	15.594	5.846	13.224	10.554
1741005000	15.954	5.847	13.455	10.893
1741005900	16.101	5.807	13.656	11.316
1741006800	15.702	5.193	12.895	10.993
1741007700	15.815	5.745	13.098	10.811
1741008600	16.120	5.424	13.341	nan
1741009500	15.815	4.942	13.114	10.895
1741010400	15.594	5.404	12.852	10.583
1741011300	15.889	5.140	13.202	11.103
1741012200	15.886	4.773	13.213	10.756
1741013100	15.662	4.748	13.071	10.673
1741014000	15.446	4.626	12.830	10.340
1741014900	15.007	4.425	12.532	10.072
1741015800	15.023	4.299	12.334	9.764
1741016700	14.778	4.409	12.392	9.905
1741017600	14.162	4.440	11.834	8.965
1741018500	14.355	4.383	11.894	nan
1741019400	13.783	4.545	11.341	8.551
1741020300	13.656	4.325	11.210	8.653
1741021200	13.011	4.486	10.681	7.805
1741022100	12.729	4.226	10.704	7.798
1741023000	12.711	4.190	10.535	7.907
1741023900	12.487	3.805	10.281	7.674
1741024800	11.825	3.699	9.669	7.036
1741025700	11.678	3.934	9.742	6.500
1741026600	11.399	4.218	9.480	6.630
1741027500	10.702	4.182	8.969	5.576
1741028400	10.840	3.691	9.228	nan
1741029300	10.074	4.213	8.658	4.899
1741030200	10.280	3.873	8.584	5.457
1741031100	9.550	4.270	8.236	4.279
1741032000	9.518	3.809	7.823	4.755
1741032900	9.245	4.347	7.769	4.109
1741033800	8.838	4.522	7.476	3.693
1741034700	8.525	4.160	7.387	3.803
1741035600	8.336	4.602	7.311	3.495
1741036500	8.567	4.436	7.207	3.296
1741037400	8.095	4.257	6.854	3.206
1741038300	8.056	4.503	6.936	nan
