epoch_s	ambient_c	wind_kph	target
1741017600	14.725	4.441	12.123
1741018500	14.054	4.595	11.813
1741019400	13.758	4.233	11.310
1741020300	13.854	4.063	11.660
1741021200	12.980	4.144	10.655
1741022100	12.769	3.844	10.431
1741023000	12.511	3.832	10.253
1741023900	12.302	4.390	10.337
1741024800	11.844	3.806	9.910
1741025700	11.840	3.685	9.905
1741026600	11.241	4.220	9.387
1741027500	10.971	4.079	9.068
1741028400	10.846	3.971	9.089
1741029300	10.482	3.796	8.824
1741030200	9.870	3.764	8.430
1741031100	9.861	4.003	8.257
1741032000	9.563	4.322	8.162
1741032900	9.338	4.003	7.859
1741033800	9.165	4.231	7.830
1741034700	8.648	4.613	7.288
1741035600	8.826	4.190	7.602
1741036500	8.527	4.662	7.334
1741037400	8.164	4.764	6.897
1741038300	8.383	4.113	6.932
1741039200	7.870	4.882	6.622
1741040100	7.891	4.698	6.636
1741041000	7.819	4.362	6.857
1741041900	7.922	4.493	6.685
1741042800	7.795	5.242	6.688
1741043700	8.345	4.642	7.091
1741044600	7.966	5.276	7.038
1741045500	8.313	5.307	7.214
1741046400	8.215	5.190	7.253
1741047300	8.416	5.344	7.242
1741048200	8.621	5.766	7.461
1741049100	8.806	5.329	7.763
1741050000	8.842	6.184	7.751
1741050900	9.591	5.643	8.102
1741051800	9.871	6.338	8.561
1741052700	9.982	6.477	8.803
1741053600	10.016	6.394	8.786
1741054500	10.539	6.213	9.131
1741055400	10.959	6.349	9.205
1741056300	11.040	6.949	9.595
1741057200	11.651	6.367	9.927
1741058100	11.503	6.581	9.691
1741059000	12.030	6.650	10.403
1741059900	12.486	7.250	10.785
1741060800	13.086	7.386	11.377
1741061700	13.046	7.396	11.344
1741062600	13.209	7.378	11.311
1741063500	13.781	7.244	11.834
1741064400	13.950	7.717	11.983
1741065300	14.399	7.414	12.306
1741066200	14.362	7.256	12.100
1741067100	14.828	8.016	12.812
1741068000	14.879	7.480	12.629
1741068900	15.509	7.467	13.315
1741069800	15.633	7.774	13.145
1741070700	15.826	7.638	13.249
1741071600	15.850	8.122	13.422
1741072500	15.573	8.153	13.279
1741073400	16.037	7.934	13.714
1741074300	15.981	8.079	13.580
1741075200	15.873	7.716	13.547
1741076100	16.258	8.194	13.728
1741077000	16.059	8.254	13.791
1741077900	15.921	7.776	13.515
1741078800	15.573	7.814	13.403
1741079700	15.821	7.815	13.344
1741080600	15.380	7.619	12.894
1741081500	15.340	8.034	12.876
1741082400	15.081	7.441	12.995
1741083300	15.070	7.991	12.759
1741084200	15.042	7.858	12.782
1741085100	14.388	7.896	12.496
1741086000	14.283	7.523	12.191
1741086900	13.785	7.202	11.704
1741087800	13.784	7.697	11.757
1741088700	13.507	7.340	11.494
1741089600	13.160	7.477	11.320
