input,target,secondary_target
0194,0.66,0.78
0195,0.83,0.06
0196,1.00,0.35
0197,0.16,0.64
0198,0.33,0.93
0199,0.50,0.21
0200,0.67,0.50
0201,0.84,0.79
0202,0.00,0.07
0203,0.17,0.36
0204,0.34,0.65
0205,0.51,0.94
0206,0.68,0.22
0207,0.85,0.51
0208,0.01,0.80
0209,0.18,0.08
0210,0.35,0.37
0211,0.52,0.66
0212,0.69,0.95
0213,0.86,0.23
0214,0.02,0.52
0215,0.19,0.81
0216,0.36,0.09
0217,0.53,0.38
0218,0.70,0.67
0219,0.87,0.96
0220,0.03,0.24
0221,0.20,0.53
0222,0.37,0.82
0223,0.54,0.10
0224,0.71,0.39
0225,0.88,0.68
0226,0.04,0.97
0227,0.21,0.25
0228,0.38,0.54
0229,0.55,0.83
0230,0.72,0.11
0231,0.89,0.40
0232,0.05,0.69
0233,0.22,0.98
0234,0.39,0.26
0235,0.56,0.55
0236,0.73,0.84
0237,0.90,0.12
0238,0.06,0.41
0239,0.23,0.70
0240,0.40,0.99
0241,0.57,0.27
0242,0.74,0.56
0243,0.91,0.85
0244,0.07,0.13
0245,0.24,0.42
0246,0.41,0.71
0247,0.58,1.00
0248,0.75,0.28
0249,0.92,0.57
0250,0.08,0.86
0251,0.25,0.14
0252,0.42,0.43
0253,0.59,0.72
0254,0.76,0.00
0255,0.93,0.29
0256,0.09,0.58
0257,0.26,0.87
0258,0.43,0.15
0259,0.60,0.44
0260,0.77,0.73
0261,0.94,0.01
0262,0.10,0.30
0263,0.27,0.59
0264,0.44,0.88
0265,0.61,0.16
0266,0.78,0.45
0267,0.95,0.74
0268,0.11,0.02
0269,0.28,0.31
0270,0.45,0.60
0271,0.62,0.89
0272,0.79,0.17
0273,0.96,0.46
0274,0.12,0.75
0275,0.29,0.03
0276,0.46,0.32
0277,0.63,0.61
0278,0.80,0.90
0279,0.97,0.18
0280,0.13,0.47
0281,0.30,0.76
0282,0.47,0.04
0283,0.64,0.33
0284,0.81,0.62
0285,0.98,0.91
0286,0.14,0.19
0287,0.31,0.48
0288,0.48,0.77
0289,0.65,0.05
0290,0.82,0.34
0291,0.99,0.63
0292,0.15,0.92
0293,0.32,0.20
0294,0.49,0.49
0295,0.66,0.78
0296,0.83,0.06
0297,1.00,0.35
0298,0.16,0.64
0299,0.33,0.93
0300,0.50,0.21
0301,0.67,0.50
0302,0.84,0.79
0303,0.00,0.07
0304,0.17,0.36
0305,0.34,0.65
0306,0.51,0.94
0307,0.68,0.22
0308,0.85,0.51
0309,0.01,0.80
0310,0.18,0.08
0311,0.35,0.37
0312,0.52,0.66
0313,0.69,0.95
0314,0.86,0.23
0315,0.02,0.52
0316,0.19,0.81
0317,0.36,0.09
0318,0.53,0.38
0319,0.70,0.67
0320,0.87,0.96
0321,0.03,0.24
0322,0.20,0.53
0323,0.37,0.82
0324,0.54,0.10
0325,0.71,0.39
0326,0.88,0.68
0327,0.04,0.97
0328,0.21,0.25
0329,0.38,0.54
0330,0.55,0.83
0331,0.72,0.11
0332,0.89,0.40
0333,0.05,0.69
0334,0.22,0.98
0335,0.39,0.26
0336,0.56,0.55
0337,0.73,0.84
0338,0.90,0.12
0339,0.06,0.41
0340,0.23,0.70
0341,0.40,0.99
0342,0.57,0.27
0343,0.74,0.56
0344,0.91,0.85
0345,0.07,0.13
0346,0.24,0.42
0347,0.41,0.71
0348,0.58,1.00
0349,0.75,0.28
0350,0.92,0.57
0351,0.08,0.86
0352,0.25,0.14
0353,0.42,0.43
0354,0.59,0.72
0355,0.76,0.00
0356,0.93,0.29
0357,0.09,0.58
0358,0.26,0.87
0359,0.43,0.15
0360,0.60,0.44
0361,0.77,0.73
0362,0.94,0.01
0363,0.10,0.30
0364,0.27,0.59
0365,0.44,0.88
0366,0.61,0.16
0367,0.78,0.45
0368,0.95,0.74
0369,0.11,0.02
0370,0.28,0.31
0371,0.45,0.60
0372,0.62,0.89
0373,0.79,0.17
0374,0.96,0.46
0375,0.12,0.75
0376,0.29,0.03
0377,0.46,0.32
0378,0.63,0.61
0379,0.80,0.90
0380,0.97,0.18
0381,0.13,0.47
0382,0.30,0.76
0383,0.47,0.04
0384,0.64,0.33
0385,0.81,0.62
0386,0.98,0.91
0387,0.14,0.19
0388,0.31,0.48
0389,0.48,0.77
0390,0.65,0.05
0391,0.82,0.34
0392,0.99,0.63
0393,0.15,0.92
0394,0.32,0.20
0395,0.49,0.49
0396,0.66,0.78
0397,0.83,0.06
0398,1.00,0.35
0399,0.16,0.64
0400,0.33,0.93
0401,0.50,0.21
0402,0.67,0.50
0403,0.84,0.79
0404,0.00,0.07
0405,0.17,0.36
0406,0.34,0.65
0407,0.51,0.94
0408,0.68,0.22
0409,0.85,0.51
0410,0.01,0.80
0411,0.18,0.08
0412,0.35,0.37
0413,0.52,0.66
0414,0.69,0.95
0415,0.86,0.23
0416,0.02,0.52
0417,0.19,0.81
0418,0.36,0.09
0419,0.53,0.38
0420,0.70,0.67
0421,0.87,0.96
0422,0.03,0.24
0423,0.20,0.53
0424,0.37,0.82
0425,0.54,0.10
0426,0.71,0.39
0427,0.88,0.68
0428,0.04,0.97
0429,0.21,0.25
0430,0.38,0.54
0431,0.55,0.83
0432,0.72,0.11
0433,0.89,0.40
0434,0.05,0.69
0435,0.22,0.98
0436,0.39,0.26
0437,0.56,0.55
0438,0.73,0.84
0439,0.90,0.12
0440,0.06,0.41
0441,0.23,0.70
0442,0.40,0.99
0443,0.57,0.27
0444,0.74,0.56
0445,0.91,0.85
0446,0.07,0.13
0447,0.24,0.42
0448,0.41,0.71
0449,0.58,1.00
0450,0.75,0.28
0451,0.92,0.57
0452,0.08,0.86
0453,0.25,0.14
0454,0.42,0.43
0455,0.59,0.72
0456,0.76,0.00
0457,0.93,0.29
0458,0.09,0.58
0459,0.26,0.87
0460,0.43,0.15
0461,0.60,0.44
0462,0.77,0.73
0463,0.94,0.01
0464,0.10,0.30
0465,0.27,0.59
0466,0.44,0.88
0467,0.61,0.16
0468,0.78,0.45
0469,0.95,0.74
0470,0.11,0.02
0471,0.28,0.31
0472,0.45,0.60
0473,0.62,0.89
0474,0.79,0.17
0475,0.96,0.46
0476,0.12,0.75
0477,0.29,0.03
0478,0.46,0.32
0479,0.63,0.61
0480,0.80,0.90
0481,0.97,0.18
0482,0.13,0.47
0483,0.30,0.76
0484,0.47,0.04
0485,0.64,0.33
0486,0.81,0.62
0487,0.98,0.91
0488,0.14,0.19
0489,0.31,0.48
0490,0.48,0.77
0491,0.65,0.05
0492,0.82,0.34
0493,0.99,0.63
0494,0.15,0.92
0495,0.32,0.20
0496,0.49,0.49
0497,0.66,0.78
0498,0.83,0.06
0499,1.00,0.35
0500,0.16,0.64
0501,0.33,0.93
0502,0.50,0.21
0503,0.67,0.50
0504,0.84,0.79
0505,0.00,0.07
0506,0.17,0.36
0507,0.34,0.65
0508,0.51,0.94
0509,0.68,0.22
0510,0.85,0.51
0511,0.01,0.80
0512,0.18,0.08
0513,0.35,0.37
0514,0.52,0.66
0515,0.69,0.95
0516,0.86,0.23
0517,0.02,0.52
0518,0.19,0.81
0519,0.36,0.09
0520,0.53,0.38
0521,0.70,0.67
0522,0.87,0.96
0523,0.03,0.24
0524,0.20,0.53
0525,0.37,0.82
0526,0.54,0.10
0527,0.71,0.39
0528,0.88,0.68
0529,0.04,0.97
0530,0.21,0.25
0531,0.38,0.54
0532,0.55,0.83
0533,0.72,0.11
0534,0.89,0.40
0535,0.05,0.69
0536,0.22,0.98
0537,0.39,0.26
0538,0.56,0.55
0539,0.73,0.84
0540,0.90,0.12
0541,0.06,0.41
0542,0.23,0.70
0543,0.40,0.99
0544,0.57,0.27
0545,0.74,0.56
0546,0.91,0.85
0547,0.07,0.13
0548,0.24,0.42
0549,0.41,0.71
0550,0.58,1.00
0551,0.75,0.28
0552,0.92,0.57
0553,0.08,0.86
0554,0.25,0.14
0555,0.42,0.43
0556,0.59,0.72
0557,0.76,0.00
0558,0.93,0.29
0559,0.09,0.58
0560,0.26,0.87
0561,0.43,0.15
0562,0.60,0.44
0563,0.77,0.73
0564,0.94,0.01
0565,0.10,0.30
0566,0.27,0.59
0567,0.44,0.88
0568,0.61,0.16
0569,0.78,0.45
0570,0.95,0.74
0571,0.11,0.02
0572,0.28,0.31
0573,0.45,0.60
0574,0.62,0.89
0575,0.79,0.17
0576,0.96,0.46
0577,0.12,0.75
0578,0.29,0.03
0579,0.46,0.32
0580,0.63,0.61
0581,0.80,0.90
0582,0.97,0.18
0583,0.13,0.47
0584,0.30,0.76
0585,0.47,0.04
0586,0.64,0.33
0587,0.81,0.62
0588,0.98,0.91
0589,0.14,0.19
0590,0.31,0.48
0591,0.48,0.77
0592,0.65,0.05
0593,0.82,0.34
0594,0.99,0.63
0595,0.15,0.92
0596,0.32,0.20
0597,0.49,0.49
0598,0.66,0.78
0599,0.83,0.06
0600,1.00,0.35
0601,0.16,0.64
0602,0.33,0.93
0603,0.50,0.21
0604,0.67,0.50
0605,0.84,0.79
0606,0.00,0.07
0607,0.17,0.36
0608,0.34,0.65
0609,0.51,0.94
0610,0.68,0.22
0611,0.85,0.51
0612,0.01,0.80
0613,0.18,0.08
0614,0.35,0.37
0615,0.52,0.66
0616,0.69,0.95
0617,0.86,0.23
0618,0.02,0.52
0619,0.19,0.81
0620,0.36,0.09
0621,0.53,0.38
0622,0.70,0.67
0623,0.87,0.96
0624,0.03,0.24
0625,0.20,0.53
0626,0.37,0.82
0627,0.54,0.10
0628,0.71,0.39
0629,0.88,0.68
0630,0.04,0.97
0631,0.21,0.25
0632,0.38,0.54
0633,0.55,0.83
0634,0.72,0.11
0635,0.89,0.40
0636,0.05,0.69
0637,0.22,0.98
0638,0.39,0.26
0639,0.56,0.55
0640,0.73,0.84
0641,0.90,0.12
0642,0.06,0.41
0643,0.23,0.70
0644,0.40,0.99
0645,0.57,0.27
0646,0.74,0.56
0647,0.91,0.85
0648,0.07,0.13
0649,0.24,0.42
0650,0.41,0.71
0651,0.58,1.00
0652,0.75,0.28
0653,0.92,0.57
0654,0.08,0.86
0655,0.25,0.14
0656,0.42,0.43
0657,0.59,0.72
0658,0.76,0.00
0659,0.93,0.29
0660,0.09,0.58
0661,0.26,0.87
0662,0.43,0.15
0663,0.60,0.44
0664,0.77,0.73
0665,0.94,0.01
0666,0.10,0.30
0667,0.27,0.59
0668,0.44,0.88
0669,0.61,0.16
0670,0.78,0.45
0671,0.95,0.74
0672,0.11,0.02
0673,0.28,0.31
0674,0.45,0.60
0675,0.62,0.89
0676,0.79,0.17
0677,0.96,0.46
0678,0.12,0.75
0679,0.29,0.03
0680,0.46,0.32

