input,target,secondary_target
112.8337,42.6867,25.6075
113.3165,42.2153,25.3550
114.8921,43.4785,25.4072
115.4160,43.8466,26.0761
116.3481,43.6333,25.8316
117.1889,43.5133,26.1122
118.2100,44.1290,25.9269
119.1589,44.2374,26.3372
89.6432,34.4619,21.1710
91.2443,34.7222,21.2229
91.8826,34.8004,
93.0211,36.0184,21.7178
93.5427,36.0531,21.4510
94.2157,35.4723,21.8400
95.2744,36.1369,22.3578
96.3653,36.6223,21.9911
97.5232,36.7673,22.7868
98.4339,36.9901,22.4130
99.2043,37.7593,23.0622
99.6719,37.8123,23.1797
100.9538,38.5383,22.8785
101.4947,38.2457,
102.5523,39.0075,23.2129
103.7853,39.0601,23.6476
104.2138,38.9409,23.8834
105.6475,40.0490,24.2857
105.9712,40.1930,23.9088
107.3109,40.0582,24.4465
108.1422,41.4360,24.4107
108.6373,41.3715,24.3333
109.6137,41.9563,24.7870
110.4036,41.6763,24.4698
111.9558,41.7937,
112.5981,42.2065,25.2599
113.0823,42.0250,25.1648
114.0301,43.3709,25.3718
115.1144,43.3523,25.6403
116.1232,43.1932,25.5945
117.0129,43.4160,26.2817
118.1424,43.9438,26.6462
119.1536,45.3194,26.0790
119.7549,44.5773,26.4633
90.3454,34.9001,21.3387
91.2117,34.7444,
92.5797,35.0153,21.5419
93.4331,35.2233,22.0725
94.3147,35.8546,22.1662
95.4164,36.8924,21.8419
96.3885,36.8748,22.0356
97.1971,36.8461,22.2198
97.5651,37.4915,22.4402
98.3949,37.9781,22.8098
99.8068,38.4636,23.2682
100.6149,37.7487,23.4568
101.5215,37.9715,
102.1627,38.8281,23.4607
103.4392,39.6108,23.5409
103.7779,39.5754,23.6193
105.0752,39.7609,23.9800
106.0810,40.4540,24.0657
106.4027,40.4688,23.8052
107.3207,40.9633,24.6334
108.3807,41.2382,24.1328
109.4150,41.2362,24.3283
110.0639,41.7987,24.4405
111.6531,42.4312,
112.3372,41.9334,24.8773
113.4257,43.2898,25.0232
113.6474,42.4775,25.3413
114.6792,43.2461,25.1944
115.4281,43.2237,25.5406
116.5072,44.1379,26.1762
117.2153,43.7352,26.2766
118.4690,44.9818,26.6393
119.6414,44.9277,26.6028
90.6635,34.5742,21.1772
91.5105,35.3922,
92.1089,35.6712,21.6180
92.7155,35.0776,21.8323
94.2645,36.1129,22.0598
94.7542,35.9891,22.3247
96.0265,36.9895,22.3368
96.6351,37.0977,22.6348
97.3161,37.4126,22.5181
98.7239,37.5943,22.7985
99.5057,37.6455,23.1141
100.5522,37.7171,23.2959
100.9640,37.8408,
101.9639,38.6283,23.0079
102.7006,38.3674,23.4683
103.6168,38.6570,23.2905
104.5928,39.0041,23.4605
105.9619,39.4825,23.7118
106.8596,39.8125,24.1939
107.0716,40.5137,24.1996
108.6178,41.2435,24.3448
109.4591,40.6927,24.6333
110.4873,41.5543,24.6245
111.2212,41.3265,
111.6347,42.1122,24.9159
112.4019,41.8877,25.5303
113.8771,42.3487,25.5585
